Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
73,Kyle  Turner (PLY),McLaren 720S GT3 Special,01:30.540,00:30.590,00:30.000,00:29.950
74,Aidan Grover (AAG),Lamborghini Huracan Evo 2019,01:30.572,00:30.835,00:29.682,00:30.055
75,Louis Formigal (LFO),Ferrari 488 GT3 Evo,01:30.607,00:30.715,00:29.917,00:29.975
76,Lucas Krienke (LZK),Honda NSX Evo 2019,01:30.670,00:30.532,00:29.625,00:30.512
77,Roby Toty (TOT),Bentley Continental GT3 2018,01:30.700,00:30.827,00:29.627,00:30.245
78,Ramon Lorenzo (RLL),Audi R8 LMS Evo II 2022,01:30.762,00:30.827,00:29.802,00:30.132
79,Jan Rodricks (JAR),BMW M4 GT3 2022,01:30.847,00:30.492,00:29.825,00:30.530
80,Pauleh Hartman (PAL),McLaren 720S GT3 Special,01:30.850,00:30.975,00:29.860,00:30.015
81,Alex Daniel (WTF),McLaren 720S GT3 Special,01:30.965,00:31.050,00:29.862,00:30.052
82,Daniel Gutierrez (GUT),BMW M4 GT3 2022,01:31.065,00:31.062,00:29.685,00:30.317
83,Dan Meyer (PLY),Audi R8 LMS Evo II 2022,01:31.072,00:30.955,00:29.767,00:30.350
84,Pat Cockcroft (PAT),Audi R8 LMS Evo II 2022,01:31.275,00:31.382,00:29.895,00:29.997
85,Jacob Wolfman (WOL),Bentley Continental GT3 2018,01:31.725,00:31.362,00:30.110,00:30.252
86,colin shea (PLY),Audi R8 LMS Evo II 2022,01:31.775,00:31.280,00:30.592,00:29.902
87,Jose Toledo (JAT),Lamborghini Huracan Evo 2019,01:31.860,00:30.927,00:30.577,00:30.355
88,Ricky Rios (RIC),Audi R8 LMS Evo II 2022,01:31.862,00:30.910,00:30.380,00:30.572
89,Roby Toty (TOT),Porsche 991 II GT3 R 2019,01:32.075,00:30.875,00:30.580,00:30.620
90,Roby Toty (TOT),Mercedes AMG GT3 2020,01:32.120,00:31.225,00:30.407,00:30.487
91,Drache Tibbetts (PLY),Lamborghini Huracan Evo 2019,01:32.197,00:30.975,00:30.657,00:30.565
92,Nathan Schaefer (LFG),McLaren 720S GT3 Special,01:32.357,00:31.552,00:30.485,00:30.320
93,JB Ruzic (JRU),Porsche 991 II GT3 R 2019,01:32.532,00:31.585,00:30.112,00:30.835
94,Roger Rodriguez (ROD),McLaren 720S GT3 Special,01:32.620,00:31.090,00:31.255,00:30.275
95,Kyle Martin (PLY),Mercedes AMG GT3 2020,01:32.937,00:31.547,00:30.927,00:30.462
96,Roby Toty (TOT),Aston Martin Vantage V8 2019,01:33.130,00:31.680,00:30.517,00:30.932
97,Durban Legacy (DUR),McLaren 720S GT3 Special,01:33.210,00:31.452,00:30.907,00:30.850
98,Super Dave (APX),McLaren 720S GT3 Special,01:33.505,00:31.455,00:31.230,00:30.820
99,Durban Legacy (PLY),Porsche 991 II GT3 R 2019,01:33.587,00:31.902,00:30.655,00:31.030
100,Jak Patch (FAL),Ferrari 488 GT3 Evo,01:33.662,00:31.732,00:31.055,00:30.875
101,Tyrell Foster (PLY),Aston Martin Vantage V8 2019,01:33.697,00:31.680,00:31.037,00:30.980
102,Sniper Nova (SNP),Lamborghini Huracan Evo 2019,01:34.100,00:31.917,00:31.097,00:31.085
103,Kyle McGuinness (MCG),Ferrari 488 GT3 Evo,01:34.435,00:32.150,00:31.120,00:31.165
104,Michael Micieli (PLY),McLaren 720S GT3 Special,01:34.470,00:32.190,00:31.362,00:30.917
105,Elijah Jacks (JAC),Lamborghini Huracan Evo 2019,01:35.805,00:32.605,00:31.600,00:31.600
106,Steven Lobser (CSL),Ferrari 488 GT3 Evo,01:35.845,00:32.627,00:32.012,00:31.205
107,Philip Menzies (PAM),McLaren 720S GT3 Special,01:36.170,00:33.037,00:31.772,00:31.360
108,Durban Legacy (PLY),Nissan GT-R Nismo GT3 2018,59:59.999,00:00.000,00:00.000,00:00.000
109,David Lee (DHL),Bentley Continental GT3 2018,59:59.999,00:00.000,00:00.000,00:00.000
110,Jeremy Reeder (PLY),Audi R8 LMS Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
111,Christopher Becco (BEC),Ferrari 488 GT3 Evo,59:59.999,00:00.000,00:00.000,00:00.000
112,Jess Osborn (PLY),BMW M4 GT3 2022,59:59.999,00:00.000,00:00.000,00:00.000
113,Andrew Anderson (AND),BMW M4 GT3 2022,59:59.999,00:00.000,00:00.000,00:00.000
114,Damien Martinez (DMZ),Ferrari 488 GT3 Evo,59:59.999,00:00.000,00:00.000,00:00.000
115,Dave Cours (DPC),Aston Martin Vantage V8 2019,59:59.999,00:00.000,00:00.000,00:00.000
116,Loukas Klentzeris (PLY),McLaren 720S GT3 Special,59:59.999,00:00.000,00:00.000,00:00.000
117,Stephen Sarver (SAR),Audi R8 LMS Evo II 2022,59:59.999,00:00.000,00:00.000,00:00.000
