Rank,Driver,Car,Lap Time,Sector 1,Sector 2,Sector 3
73,Chris Moses (MAD),Mercedes AMG GT3 2020,59:59.999,00:00.000,00:00.000,00:00.000
74,Curtis Lee (CUJO),Lexus RC F GT3,59:59.999,00:00.000,00:00.000,00:00.000
75,John Foguth (JFO),McLaren 720S GT3 Special,59:59.999,00:00.000,00:00.000,00:00.000
76,Aroop Kumar (AKB),Honda NSX Evo 2019,59:59.999,00:00.000,00:00.000,00:00.000
77,Colin Shea (COLIN ),Ferrari 488 GT3 Evo,59:59.999,00:00.000,00:00.000,00:00.000
78,Hesham Rimzk (RIMZK),Ferrari 488 GT3 Evo,59:59.999,00:00.000,00:00.000,00:00.000
79,Pauleh Hartman (PAL),Ferrari 488 GT3 Evo,59:59.999,00:00.000,00:00.000,00:00.000
80,Colin Shea (COLIN ),Porsche 991 II GT3 R 2019,59:59.999,00:00.000,00:00.000,00:00.000
81,Pauleh Hartman (PAL),Porsche 991 II GT3 R 2019,59:59.999,00:00.000,00:00.000,00:00.000
82,Bradley Busek (BSK),Audi R8 LMS Evo II 2022,59:59.999,00:00.000,00:00.000,00:00.000
83,Justin Rally (JRALLY),McLaren 720S GT3 Special,59:59.999,00:00.000,00:00.000,00:00.000
84,Russell Allen (RUSSELL),Audi R8 LMS Evo II 2022,59:59.999,00:00.000,00:00.000,00:00.000
